Date,Output MwH
01/01/2016 12:00,1170.628
01/01/2016 13:00,847.902
01/01/2016 14:00,820.2595
01/01/2016 15:00,1093.58175
01/01/2016 16:00,1787.73625
01/01/2016 17:00,2679.8335
01/01/2016 18:00,3964.122
01/01/2016 19:00,5100.265
01/01/2016 20:00,6139.998
01/01/2016 21:00,6856.59875
01/01/2016 22:00,7677.74125
01/01/2016 23:00,8292.57875
02/01/2016 00:00,9516.57
02/01/2016 01:00,11632.5865
02/01/2016 02:00,13119.68675
02/01/2016 03:00,14827.09625
02/01/2016 04:00,16291.6455
02/01/2016 05:00,17357.0095
02/01/2016 06:00,17694.97625
02/01/2016 07:00,17735.869
02/01/2016 08:00,18357.7555
02/01/2016 09:00,18985.75625
02/01/2016 10:00,19418.739
02/01/2016 11:00,20162.762
02/01/2016 12:00,20977.607
02/01/2016 13:00,21099.64575
02/01/2016 14:00,21361.3555
02/01/2016 15:00,21786.1215
02/01/2016 16:00,22333.539
02/01/2016 17:00,22600.32525
02/01/2016 18:00,22534.95175
02/01/2016 19:00,22056.48125
02/01/2016 20:00,21896.75275
02/01/2016 21:00,21328.1055
02/01/2016 22:00,21287.65325
02/01/2016 23:00,21265.645
03/01/2016 00:00,20624.11575
03/01/2016 01:00,20194.122
03/01/2016 02:00,19747.80925
03/01/2016 03:00,19403.8625
03/01/2016 04:00,19300.24925
03/01/2016 05:00,19428.6365
03/01/2016 06:00,19053.3925
03/01/2016 07:00,18447.12025
03/01/2016 08:00,18041.1125
03/01/2016 09:00,17563.23625
03/01/2016 10:00,17021.68025
03/01/2016 11:00,16695.09075
03/01/2016 12:00,14386.5
03/01/2016 13:00,14343.75
03/01/2016 14:00,14927
03/01/2016 15:00,15376.5
03/01/2016 16:00,16469.75
03/01/2016 17:00,17305
03/01/2016 18:00,17645.25
03/01/2016 19:00,17703
03/01/2016 20:00,17556
03/01/2016 21:00,16915
03/01/2016 22:00,16727.25
03/01/2016 23:00,16405
04/01/2016 00:00,15651.75
04/01/2016 01:00,15031.75
04/01/2016 02:00,14383.5
04/01/2016 03:00,13606.5
04/01/2016 04:00,13174
04/01/2016 05:00,13283.75
04/01/2016 06:00,13081.75
04/01/2016 07:00,12862.25
04/01/2016 08:00,12141.5
04/01/2016 09:00,11422.75
04/01/2016 10:00,10561.5
04/01/2016 11:00,10134.25
04/01/2016 12:00,9772.25
04/01/2016 13:00,9778.25
04/01/2016 14:00,10033.5
04/01/2016 15:00,10337.25
04/01/2016 16:00,10932.5
04/01/2016 17:00,11078.75
04/01/2016 18:00,10843.5
04/01/2016 19:00,10680.5
